DocumentFieldName,TableColumnName,DelimitedColumnIndex,FwStartPosition,FwEndPosition,FieldLength,DiscardFlag,LookupType,LookupCategory,LookupInputColumn1,LookupInputColumn2,LookupInputColumn3,LookupInputColumn4,LookupOutputColumn,,,
TEXAS_STUDENT_DATA_SYSTEM_UNIQUE_STUDENT_ID,Texas Student Data System Unique Student ID,,191,200,10,,,,,,,,,,,
READING_SUBJECT_INFORMATION_LOCAL_USE,Reading Subject Information Local Use,,201,204,4,,,,,,,,,,,
MATHEMATICS_SUBJECT_INFORMATION_LOCAL_USE,Mathematics Subject Information Local Use,,205,208,4,,,,,,,,,,,
WRITING_SUBJECT_INFORMATION_LOCAL_USE,Writing Subject Information Local Use,,209,212,4,,,,,,,,,,,
SOCIAL_STUDIES_SUBJECT_INFORMATION_LOCAL_USE,Social Studies Subject Information Local Use,,213,216,4,,,,,,,,,,,
SCIENCE_SUBJECT_INFORMATION_LOCAL_USE,Science Subject Information Local Use,,217,220,4,,,,,,,,,,,
READING_SUBJECT_INFORMATION_AGENCY_USE,Reading Subject Information Agency Use,,221,225,5,,,,,,,,,,,
MATHEMATICS_SUBJECT_INFORMATION_AGENCY_USE,Mathematics Subject Information Agency Use,,226,230,5,,,,,,,,,,,
WRITING_SUBJECT_INFORMATION_AGENCY_USE,Writing Subject Information Agency Use,,231,235,5,,,,,,,,,,,
SOCIAL_STUDIES_SUBJECT_INFORMATION_AGENCY_USE,Social Studies Subject Information Agency Use,,236,240,5,,,,,,,,,,,
SCIENCE_SUBJECT_INFORMATION_AGENCY_USE,Science Subject Information Agency Use,,241,245,5,,,,,,,,,,,
READING_EOC_ABOVE_GRADE,Reading EOC Above Grade,,246,246,1,,,,,,,,,,,
MATHEMATICS_EOC_ABOVE_GRADE,Mathematics EOC Above Grade,,247,247,1,,,,,,,,,,,
SOCIAL_STUDIES_EOC_ABOVE_GRADE,Social Studies EOC Above Grade,,248,248,1,,,,,,,,,,,
SCIENCE_EOC_ABOVE_GRADE,Science EOC Above Grade,,249,249,1,,,,,,,,,,,
BLANK,Blank,,250,251,2,Y,,,,,,,,,,
READING_TEST_ACCOMMODATIONS_DESIGNATED_SUPPORTS,Reading Test Accommodations Designated Supports,,252,252,1,,,,,,,,,,,
READING_TEST_ACCOMMODATIONS_BRAILLE,Reading Test Accommodations Braille ,,253,253,1,,,,,,,,,,,
READING_TEST_ACCOMMODATIONS_LARGE_PRINT,Reading Test Accommodations Large Print,,254,254,1,,,,,,,,,,,
BLANK,Blank,,255,255,1,Y,,,,,,,,,,
READING_TEST_ACCOMMODATIONS_EXTRA_DAY,Reading Test Accommodations Extra Day,,256,256,1,,,,,,,,,,,
BLANK,Blank,,257,258,2,Y,,,,,,,,,,
READING_TEST_ACCOMMODATIONS_TEXT_TO_SPEECH,Reading Test Accommodations Text To Speech,,259,259,1,,,,,,,,,,,
BLANK,Blank,,260,261,2,Y,,,,,,,,,,
READING_TEST_ACCOMMODATIONS_CONTENT_AND_LANGUAGE_SUPPORTS,Reading Test Accommodations Content and Language Supports,,262,262,1,,,,,,,,,,,
BLANK,Blank,,263,271,9,Y,,,,,,,,,,
MATHEMATICS_TEST_ACCOMMODATIONS_DESIGNATED_SUPPORTS,Mathematics Test Accommodations Designated Supports,,272,272,1,,,,,,,,,,,
MATHEMATICS_TEST_ACCOMMODATIONS_BRAILLE,Mathematics Test Accommodations Braille,,273,273,1,,,,,,,,,,,
MATHEMATICS_TEST_ACCOMMODATIONS_LARGE_PRINT,Mathematics Test Accommodations Large Print,,274,274,1,,,,,,,,,,,
BLANK,Blank,,275,275,1,Y,,,,,,,,,,
MATHEMATICS_TEST_ACCOMMODATIONS_EXTRA_DAY,Mathematics Test Accommodations Extra Day,,276,276,1,,,,,,,,,,,
BLANK,Blank,,277,278,2,Y,,,,,,,,,,
MATHEMATICS_TEST_ACCOMMODATIONS_TEXT_TO_SPEECH,Mathematics Test Accommodations Text To Speech,,279,279,1,,,,,,,,,,,
BLANK,Blank,,280,281,2,Y,,,,,,,,,,
MATHEMATICS_TEST_ACCOMMODATIONS_CONTENT_AND_LANGUAGE_SUPPORTS,Mathematics Test Accommodations Content and Language Supports,,282,282,1,,,,,,,,,,,
BLANK,Blank,,283,291,9,Y,,,,,,,,,,
WRITING_TEST_ACCOMMODATIONS_DESIGNATED_SUPPORTS,Writing Test Accommodations Designated Supports,,292,292,1,,,,,,,,,,,
WRITING_TEST_ACCOMMODATIONS_BRAILLE,Writing Test Accommodations Braille,,293,293,1,,,,,,,,,,,
WRITING_TEST_ACCOMMODATIONS_LARGE_PRINT,Writing Test Accommodations Large Print,,294,294,1,,,,,,,,,,,
WRITING_TEST_ACCOMMODATIONS_EXTRA_DAY,Writing Test Accommodations Extra Day,,295,295,1,,,,,,,,,,,
BLANK,Blank,,296,296,1,Y,,,,,,,,,,
WRITING_TEST_ACCOMMODATIONS_TEXT_TO_SPEECH,Writing Test Accommodations Text To Speech,,297,297,1,,,,,,,,,,,
BLANK,Blank,,298,299,2,Y,,,,,,,,,,
WRITING_TEST_ACCOMMODATIONS_CONTENT_AND_LANGUAGE_SUPPORTS,Writing Test Accommodations Content and Language Supports,,300,300,1,,,,,,,,,,,
WRITING_TEST_ACCOMMODATIONS_SPELLING_ASSISTANCE,Writing Test Accommodations Spelling Assistance,,301,301,1,,,,,,,,,,,
BLANK,Blank,,302,311,10,Y,,,,,,,,,,
SOCIAL_STUDIES_TEST_ACCOMMODATIONS_DESIGNATED_SUPPORTS,Social Studies Test Accommodations Designated Supports,,312,312,1,,,,,,,,,,,
SOCIAL_STUDIES_TEST_ACCOMMODATIONS_BRAILLE,Social Studies Test Accommodations Braille,,313,313,1,,,,,,,,,,,
SOCIAL_STUDIES_TEST_ACCOMMODATIONS_LARGE_PRINT,Social Studies Test Accommodations Large Print,,314,314,1,,,,,,,,,,,
BLANK,Blank,,315,315,1,Y,,,,,,,,,,
SOCIAL_STUDIES_TEST_ACCOMMODATIONS_EXTRA_DAY,Social Studies Test Accommodations Extra Day,,316,316,1,,,,,,,,,,,
BLANK,Blank,,317,318,2,Y,,,,,,,,,,
SOCIAL_STUDIES_TEST_ACCOMMODATIONS_TEXT_TO_SPEECH,Social Studies Test Accommodations Text To Speech,,319,319,1,,,,,,,,,,,
BLANK,Blank,,320,321,2,Y,,,,,,,,,,
SOCIAL_STUDIES_TEST_ACCOMMODATIONS_CONTENT_AND_LANGUAGE_SUPPORTS,Social Studies Test Accommodations Content and Language Supports,,322,322,1,,,,,,,,,,,
BLANK,Blank,,323,331,9,Y,,,,,,,,,,
SCIENCE_TEST_ACCOMMODATIONS_DESIGNATED_SUPPORTS,Science Test Accommodations Designated Supports,,332,332,1,,,,,,,,,,,
SCIENCE_TEST_ACCOMMODATIONS_BRAILLE,Science Test Accommodations Braille,,333,333,1,,,,,,,,,,,
SCIENCE_TEST_ACCOMMODATIONS_LARGE_PRINT,Science Test Accommodations Large Print,,334,334,1,,,,,,,,,,,
BLANK,Blank,,335,335,1,Y,,,,,,,,,,
SCIENCE_TEST_ACCOMMODATIONS_EXTRA_DAY,Science Test Accommodations Extra Day,,336,336,1,,,,,,,,,,,
BLANK,Blank,,337,338,2,Y,,,,,,,,,,
SCIENCE_TEST_ACCOMMODATIONS_TEXT_TO_SPEECH,Science Test Accommodations Text To Speech,,339,339,1,,,,,,,,,,,
BLANK,Blank,,340,341,2,Y,,,,,,,,,,
SCIENCE_TEST_ACCOMMODATIONS_CONTENT_AND_LANGUAGE_SUPPORTS,Science Test Accommodations Content and Language Supports,,342,342,1,,,,,,,,,,,
BLANK,Blank,,343,350,8,Y,,,,,,,,,,
READING_SCORE_CODE_INFORMATION,Reading Score Code Information,,351,351,1,,,,,,,,,,,
,Reading Score Code Information Desc,,,,136,,ExactCodeLookup,ScoreCodeInformation,Reading Score Code Information,,,,OutputValue1,,,
MATHEMATICS_SCORE_CODE_INFORMATION,Mathematics Score Code Information,,352,352,1,,,,,,,,,,,
,Mathematics Score Code Information Desc,,,,136,,ExactCodeLookup,ScoreCodeInformation,Mathematics Score Code Information,,,,OutputValue1,,,
WRITING_SCORE_CODE_INFORMATION,Writing Score Code Information,,353,353,1,,,,,,,,,,,
,Writing Score Code Information Desc,,,,136,,ExactCodeLookup,ScoreCodeInformation,Writing Score Code Information,,,,OutputValue1,,,
SOCIAL_STUDIES_SCORE_CODE_INFORMATION,Social Studies Score Code Information,,354,354,1,,,,,,,,,,,
,Social Studies Score Code Information Desc,,,,136,,ExactCodeLookup,ScoreCodeInformation,Social Studies Score Code Information,,,,OutputValue1,,,
SCIENCE_SCORE_CODE_INFORMATION,Science Score Code Information,,355,355,1,,,,,,,,,,,
,Science Score Code Information Desc,,,,136,,ExactCodeLookup,ScoreCodeInformation,Science Score Code Information,,,,OutputValue1,,,
READING_SCORE_CODE_DEFAULT_INFORMATION,Reading Score Code Default Information,,356,356,1,,,,,,,,,,,
,Reading Score Code Default Information Desc,,,,239,,ExactCodeLookup,ScoreCodeDefaultInformation,Reading Score Code Default Information,,,,OutputValue1,,,
MATHEMATICS_SCORE_CODE_DEFAULT_INFORMATION,Mathematics Score Code Default Information,,357,357,1,,,,,,,,,,,
,Mathematics Score Code Default Information Desc,,,,239,,ExactCodeLookup,ScoreCodeDefaultInformation,Mathematics Score Code Default Information,,,,OutputValue1,,,
WRITING_SCORE_CODE_DEFAULT_INFORMATION,Writing Score Code Default Information,,358,358,1,,,,,,,,,,,
,Writing Score Code Default Information Desc,,,,239,,ExactCodeLookup,ScoreCodeDefaultInformation,Writing Score Code Default Information,,,,OutputValue1,,,
SOCIAL_STUDIES_SCORE_CODE_DEFAULT_INFORMATION,Social Studies Score Code Default Information,,359,359,1,,,,,,,,,,,
,Social Studies Score Code Default Information Desc,,,,239,,ExactCodeLookup,ScoreCodeDefaultInformation,Social Studies Score Code Default Information,,,,OutputValue1,,,
SCIENCE_SCORE_CODE_DEFAULT_INFORMATION,Science Score Code Default Information,,360,360,1,,,,,,,,,,,
,Science Score Code Default Information Desc,,,,239,,ExactCodeLookup,ScoreCodeDefaultInformation,Science Score Code Default Information,,,,OutputValue1,,,
BLANK,Blank,,361,400,40,Y,,,,,,,,,,
READING_REPORTING_CATEGORY_SCORES,Reading Reporting Category Scores,,401,406,6,,,,,,,,,,,
READING_RAW_SCORE,Reading Raw Score,,407,408,2,,,,,,,,,,,
READING_SCALE_SCORE,Reading Scale Score,,409,412,4,,,,,,,,,,,
READING_LANGUAGE_VERSION,Reading Language Version,,413,413,1,,,,,,,,,,,
,Reading Language Version Desc,,,,7,,ExactCodeLookup,LanguageVersion,Reading Language Version,,,,OutputValue1,,,
READING_TEST_VERSION,Reading Test Version,,414,414,1,,,,,,,,,,,
,Reading Test Version Desc,,,,5,,ExactCodeLookup,TestVersion,Reading Test Version,,,,OutputValue1,,,
READING_TEST_ADMINISTRATION_MODE,Reading Test Administration Mode,,415,415,1,,,,,,,,,,,
,Reading Test Administration Mode Desc,,,,26,,ExactCodeLookup,TestAdministrationMode,Reading Test Administration Mode,,,,OutputValue1,,,
BLANK,Blank,,416,422,7,Y,,,,,,,,,,
MEETS_GRADE_LEVEL_IN_READING,Meets Grade Level In Reading,,423,423,1,,,,,,,,,,,
APPROACHES_GRADE_LEVEL_IN_READING,Approaches Grade Level In Reading,,424,424,1,,,,,,,,,,,
MASTERS_GRADE_LEVEL_IN_READING,Masters Grade Level In Reading,,425,425,1,,,,,,,,,,,
,Reading Proficency Level ,,,,12,,ExactCodeLookup,ProfLevelAlgorithm,Meets Grade Level In Reading,Approaches Grade Level In Reading,Masters Grade Level In Reading,,OutputValue1,,,
,Reading Proficency Level Color,,,,5,,ExactCodeLookup,ProfLevelAlgorithm,Meets Grade Level In Reading,Approaches Grade Level In Reading,Masters Grade Level In Reading,,OutputValue2,,,
READING_STAAR_PROGRESS_MEASURE,Reading STAAR Progress Measure,,426,426,1,,,,,,,,,,,
,Reading STAAR Progress Measure Desc,,,,11,,ExactCodeLookup,STAARProgressMeasure,Reading STAAR Progress Measure,,,,OutputValue1,,,
BLANK,Blank,,427,428,2,Y,,,,,,,,,,
READING_ON_TRACK_TO_MEET_GRADE_LEVEL,Reading On Track To Meet Grade Level,,429,429,1,,,,,,,,,,,
READING_PREV_YR_ADMINISTRATION_DATE,Reading Previous Year Administration Date,,430,433,4,,,,,,,,,,,
READING_PREV_YR_SCALE_SCORE,Reading Previous Year Scale Score,,434,437,4,,,,,,,,,,,
READING_PREV_YR_LANGUAGE_VERSION,Reading Previous Year Language Version,,438,438,1,,,,,,,,,,,
,Reading Previous Year Language Version Desc,,,,7,,ExactCodeLookup,LanguageVersion,Reading Previous Year Language Version,,,,OutputValue1,,,
BLANK,Blank,,439,439,1,Y ,,,,,,,,,,
READING_PREV_YR_SCORE_CODE,Reading Previous Year Score Code,,440,440,1,,,,,,,,,,,
,Reading Previous Year Score Code Desc,,,,136,,ExactCodeLookup,ScoreCodeInformation,Reading Previous Year Score Code,,,,OutputValue1,,,
BLANK,Blank,,441,441,1,Y ,,,,,,,,,,
READING_PREV_YR_MASTERS_GRADE_LEVEL,Reading Previous Year Masters Grade Level,,442,442,1,,,,,,,,,,,
READING_PREV_YR_TESTED_GRADE,Reading Previous Year Tested Grade,,443,444,2,,,,,,,,,,,
BLANK,Blank,,445,450,6,Y,,,,,,,,,,
READING_ITEM_REPORTING_CATEGORY_NUMBERS,Reading Item Reporting Category Numbers,,451,494,44,,,,,,,,,,,
BLANK,Blank,,495,502,8,Y,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_1,Reading Item Student Response 1,,503,503,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_2,Reading Item Student Response 2,,504,504,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_3,Reading Item Student Response 3,,505,505,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_4,Reading Item Student Response 4,,506,506,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_5,Reading Item Student Response 5,,507,507,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_6,Reading Item Student Response 6,,508,508,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_7,Reading Item Student Response 7,,509,509,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_8,Reading Item Student Response 8,,510,510,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_9,Reading Item Student Response 9,,511,511,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_10,Reading Item Student Response 10,,512,512,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_11,Reading Item Student Response 11,,513,513,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_12,Reading Item Student Response 12,,514,514,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_13,Reading Item Student Response 13,,515,515,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_14,Reading Item Student Response 14,,516,516,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_15,Reading Item Student Response 15,,517,517,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_16,Reading Item Student Response 16,,518,518,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_17,Reading Item Student Response 17,,519,519,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_18,Reading Item Student Response 18,,520,520,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_19,Reading Item Student Response 19,,521,521,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_20,Reading Item Student Response 20,,522,522,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_21,Reading Item Student Response 21,,523,523,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_22,Reading Item Student Response 22,,524,524,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_23,Reading Item Student Response 23,,525,525,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_24,Reading Item Student Response 24,,526,526,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_25,Reading Item Student Response 25,,527,527,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_26,Reading Item Student Response 26,,528,528,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_27,Reading Item Student Response 27,,529,529,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_28,Reading Item Student Response 28,,530,530,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_29,Reading Item Student Response 29,,531,531,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_30,Reading Item Student Response 30,,532,532,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_31,Reading Item Student Response 31,,533,533,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_32,Reading Item Student Response 32,,534,534,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_33,Reading Item Student Response 33,,535,535,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_34,Reading Item Student Response 34,,536,536,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_35,Reading Item Student Response 35,,537,537,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_36,Reading Item Student Response 36,,538,538,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_37,Reading Item Student Response 37,,539,539,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_38,Reading Item Student Response 38,,540,540,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_39,Reading Item Student Response 39,,541,541,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_40,Reading Item Student Response 40,,542,542,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_41,Reading Item Student Response 41,,543,543,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_42,Reading Item Student Response 42,,544,544,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_43,Reading Item Student Response 43,,545,545,1,,,,,,,,,,,
READING_ITEM_STUDENT_RESPONSE_44,Reading Item Student Response 44,,546,546,1,,,,,,,,,,,
BLANK,Blank,,547,554,8,Y,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_1,Reading Item Correct Response 1,,555,555,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_2,Reading Item Correct Response 2,,556,556,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_3,Reading Item Correct Response 3,,557,557,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_4,Reading Item Correct Response 4,,558,558,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_5,Reading Item Correct Response 5,,559,559,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_6,Reading Item Correct Response 6,,560,560,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_7,Reading Item Correct Response 7,,561,561,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_8,Reading Item Correct Response 8,,562,562,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_9,Reading Item Correct Response 9,,563,563,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_10,Reading Item Correct Response 10,,564,564,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_11,Reading Item Correct Response 11,,565,565,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_12,Reading Item Correct Response 12,,566,566,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_13,Reading Item Correct Response 13,,567,567,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_14,Reading Item Correct Response 14,,568,568,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_15,Reading Item Correct Response 15,,569,569,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_16,Reading Item Correct Response 16,,570,570,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_17,Reading Item Correct Response 17,,571,571,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_18,Reading Item Correct Response 18,,572,572,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_19,Reading Item Correct Response 19,,573,573,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_20,Reading Item Correct Response 20,,574,574,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_21,Reading Item Correct Response 21,,575,575,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_22,Reading Item Correct Response 22,,576,576,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_23,Reading Item Correct Response 23,,577,577,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_24,Reading Item Correct Response 24,,578,578,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_25,Reading Item Correct Response 25,,579,579,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_26,Reading Item Correct Response 26,,580,580,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_27,Reading Item Correct Response 27,,581,581,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_28,Reading Item Correct Response 28,,582,582,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_29,Reading Item Correct Response 29,,583,583,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_30,Reading Item Correct Response 30,,584,584,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_31,Reading Item Correct Response 31,,585,585,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_32,Reading Item Correct Response 32,,586,586,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_33,Reading Item Correct Response 33,,587,587,1,,,,,,,,,,,
READING_ITEM_CORRECT_RESPONSE_34,Reading Item Correct Response 34,,588,588,1,,,,,,,,,,,
